time,pos,delta
0.001027674,323.2428589,7.069641113
0.00115148,323.0256653,7.070159912
0.002521503,322.8097839,7.072723389
0.002641563,322.5975647,7.075836182
0.002757662,322.385376,7.074737549
0.002873531,322.1687317,7.075012207
0.002989274,321.9511108,7.076934814
0.003105521,321.7350769,7.078796387
0.003218937,321.522644,7.078887935
0.013965948,1.418161964,6.995651722
0.026022139,1.201395392,6.99476862
0.037916201,0.986747837,6.996648312
0.049986018,0.774783134,6.998334885
0.061910221,0.562062931,6.998171329
0.073919608,0.345194197,6.998483181
0.085895104,0.128294659,6.999398708
0.098012514,359.9133911,6.999572754
0.109987329,359.7013245,6.999664307
0.120962471,359.4899902,7.000061035
0.132961456,359.2754211,6.999267578
0.145030438,359.0585632,6.999053955
0.157025879,358.8431702,6.999420166
0.169025383,358.6304321,7.002349854
0.180921038,358.4185181,7.002624512
0.192929552,358.2035828,7.00177002
0.204909207,357.9877014,7.003509521
0.215968133,357.7714233,7.003448486
0.227963229,357.5579529,7.004119873
0.240927401,357.3464966,7.004699707
0.251946114,357.1343689,7.004333496
0.263894856,356.9189453,7.003967285
0.275974757,356.7020569,7.003540039
0.287928549,356.4878235,7.005767822
0.299915058,356.2756958,7.006988525
0.311873516,356.0628357,7.006958008
0.323029067,355.8465576,7.007324219
0.334951977,355.6296082,7.008392334
0.346955458,355.4144287,7.009002686
0.358912789,355.2025146,7.009643555
0.370932859,354.991333,7.00970459
0.382921631,354.7766724,7.008514404
0.394884075,354.5604248,7.008392334
0.406877672,354.3440552,7.009033203
0.417945803,354.1311646,7.011993408
0.430035452,353.9193726,7.012359619
0.441966275,353.7036438,7.01171875
0.453997136,353.4871826,7.013214111
0.46600438,353.2703857,7.013824463
0.477988916,353.0570068,7.014862061
0.48993134,352.8457336,7.014770508
0.501915451,352.6336975,7.013702393
0.512970841,352.4185181,7.013092041
0.524963894,352.2019348,7.013122559
0.536954449,351.9876099,7.015808105
0.548921723,351.7760925,7.017425537
0.56098744,351.5627747,7.017028809
0.572908243,351.3459167,7.017822266
0.584914645,351.1286316,7.01953125
0.596958888,350.9134827,7.019897461
0.607960811,350.7016296,7.020080566
0.619979685,350.4906921,7.020080566
0.631964191,350.2762756,7.018615723
0.643988911,350.0598755,7.018341064
0.655963373,349.8434753,7.019836426
0.667940205,349.6307678,7.022766113
0.679962444,349.4191284,7.022888184
0.691923143,349.2042847,7.022216797
0.702931222,348.9875488,7.024505615
0.714941596,348.7706604,7.024658203
0.726957059,348.5574036,7.025390625
0.739001579,348.3460999,7.026031494
0.751030021,348.1341248,7.024291992
0.762954474,347.9181213,7.023254395
0.774895444,347.701355,7.023529053
0.786955307,347.4865417,7.026306152
0.79892232,347.2754517,7.027526855
0.809910462,347.0632629,7.027008057
0.821956157,346.8468018,7.027923584
0.833963723,346.6297302,7.029785156
0.845943117,346.4145813,7.030151367
0.857939628,346.2027588,7.031188965
0.869941495,345.9915771,7.030609131
0.881900476,345.7774963,7.028564453
0.89394145,345.5607605,7.028076172
0.90492188,345.3441467,7.029754639
0.916952564,345.1307983,7.032989502
0.928945948,344.9199219,7.032928467
0.941904461,344.7045898,7.032501221
0.952954647,344.4872131,7.035095215
0.96490704,344.2704773,7.035705566
0.976933505,344.0574951,7.036865234
0.988917939,343.8464355,7.036621094
0.999959915,343.6347351,7.034362793
1.011950096,343.4187317,7.033325195
1.023962518,343.2019043,7.033905029
1.035944312,342.9874268,7.036651611
1.047937226,342.7759705,7.038452148
1.059971002,342.5641174,7.037872314
1.071974519,342.3477173,7.039123535
1.083920071,342.1304016,7.04119873
1.095033006,341.9144592,7.041809082
1.107138538,341.7030334,7.042633057
1.119111474,341.492157,7.041564941
1.130942776,341.2776794,7.039031982
1.143040219,341.0610657,7.038848877
1.15493091,340.8450317,7.041290283
1.166947338,340.6322632,7.0440979
1.178935101,340.4208984,7.0440979
1.190934686,340.2063904,7.043609619
1.201965823,339.9884644,7.046539307
1.213930431,339.771698,7.046844482
1.225976049,339.5582886,7.047576904
1.237956247,339.3478699,7.04800415
1.24995587,339.1368103,7.045288086
1.261941919,338.9199829,7.043670654
1.273901762,338.7029724,7.044891357
1.285930667,338.4888,7.048370361
1.296969701,338.2767639,7.049804688
1.308922515,338.0647583,7.048706055
1.320957896,337.8476563,7.050048828
1.332928617,337.6294556,7.051818848
1.344937022,337.4144592,7.052459717
1.356901326,337.2032471,7.053649902
1.368942525,336.992157,7.052307129
1.380912703,336.7780457,7.049072266
1.39289302,336.5612488,7.049072266
1.403929828,336.3450623,7.052001953
1.415957621,336.1325989,7.055084229
1.427952058,335.9216309,7.054351807
1.439911,335.7073059,7.053741455
1.45193079,335.4901733,7.056762695
1.463935944,335.2734985,7.057189941
1.475933357,335.0604248,7.058532715
1.487938153,334.8500671,7.058380127
1.498927082,334.6382141,7.054779053
1.511037723,334.4221802,7.053131104
1.52292762,334.2053223,7.054443359
1.534912742,333.9906006,7.057983398
1.546949956,333.7795715,7.059753418
1.558948975,333.5681763,7.05859375
1.570927958,333.3513794,7.059539795
1.582892365,333.1340332,7.061645508
1.59404204,332.9184875,7.062835693
1.605919931,332.7070313,7.064056396
